"","stimulus","option","eyewitness1","eyewitness2","category"
"1",1,1,4.72,3.87,"filler_3opt"
"2",1,2,1.62,1.02,"filler_3opt"
"3",1,3,2.16,4.08,"filler_3opt"
"4",2,1,9.82,8.34,"filler_3opt"
"5",2,2,7.83,4.35,"filler_3opt"
"6",2,3,2.04,5.43,"filler_3opt"
"7",3,1,7.41,8.85,"filler_3opt"
"8",3,2,7.9,2.22,"filler_3opt"
"9",3,3,3.29,1.09,"filler_3opt"
"10",4,1,0.16,6.59,"filler_3opt"
"11",4,2,7.24,1.77,"filler_3opt"
"12",4,3,0.64,6.54,"filler_3opt"
"13",5,1,6.92,4.24,"filler_3opt"
"14",5,2,4.49,0.09,"filler_3opt"
"15",5,3,7.35,7.58,"filler_3opt"
"16",6,1,5.17,1.45,"filler_3opt"
"17",6,2,8.75,2.7,"filler_3opt"
"18",6,3,9.17,5.87,"filler_3opt"
"19",7,1,5.42,1.17,"filler_3opt"
"20",7,2,8.87,9.54,"filler_3opt"
"21",7,3,1.39,4.29,"filler_3opt"
"22",8,1,2.05,0.93,"filler_3opt"
"23",8,2,6.12,1.62,"filler_3opt"
"24",8,3,2.99,9.17,"filler_3opt"
"25",9,1,4.66,5.02,"filler_3opt"
"26",9,2,8.69,0.47,"filler_3opt"
"27",9,3,9.35,6.68,"filler_3opt"
"28",10,1,3.73,4.97,"filler_3opt"
"29",10,2,8.36,3.47,"filler_3opt"
"30",10,3,0.83,6.7,"filler_3opt"
"31",11,1,7.41,1.04,"filler_3opt"
"32",11,2,2.96,1.34,"filler_3opt"
"33",11,3,5.67,3.59,"filler_3opt"
"34",12,1,3.87,1.79,"filler_3opt"
"35",12,2,8.79,6.67,"filler_3opt"
"36",12,3,2.49,5.71,"filler_3opt"
"37",13,1,2.24,2.9,"filler_3opt"
"38",13,2,1.09,9.15,"filler_3opt"
"39",13,3,8.95,8.61,"filler_3opt"
"40",14,1,5.42,9.87,"filler_3opt"
"41",14,2,4.81,8.4,"filler_3opt"
"42",14,3,1.99,1.35,"filler_3opt"
"43",15,1,2.69,2.68,"filler_3opt"
"44",15,2,7.53,6.72,"filler_3opt"
"45",15,3,4.55,7.67,"filler_3opt"
"46",16,1,5.05,4.08,"filler_3opt"
"47",16,2,8.7,0.04,"filler_3opt"
"48",16,3,3.28,2.03,"filler_3opt"
"49",17,1,4.11,9,"filler_3opt"
"50",17,2,8.36,0.19,"filler_3opt"
"51",17,3,1.2,4.7,"filler_3opt"
"52",18,1,7.82,4.55,"filler_3opt"
"53",18,2,0.09,4.01,"filler_3opt"
"54",18,3,2.71,2.01,"filler_3opt"
"55",19,1,9.72,5.12,"filler_3opt"
"56",19,2,1.31,8.43,"filler_3opt"
"57",19,3,3.3,4.44,"filler_3opt"
"58",20,1,4.83,4.71,"filler_3opt"
"59",20,2,1.78,9.17,"filler_3opt"
"60",20,3,2.07,0.88,"filler_3opt"
