"","stimulus","option","eyewitness1","eyewitness2","category"
"1",1,1,4,6,"target_4opt"
"2",1,2,6,4,"target_4opt"
"3",1,3,5.1,5.1,"target_4opt"
"4",1,4,3.95,6.03,"target_4opt"
"5",2,1,4,6,"target_4opt"
"6",2,2,6,4,"target_4opt"
"7",2,3,5.09,5.09,"target_4opt"
"8",2,4,3.93,6,"target_4opt"
"9",3,1,4,6,"target_4opt"
"10",3,2,6,4,"target_4opt"
"11",3,3,5.07,5.07,"target_4opt"
"12",3,4,3.91,5.97,"target_4opt"
"13",4,1,4,6,"target_4opt"
"14",4,2,6,4,"target_4opt"
"15",4,3,5.06,5.06,"target_4opt"
"16",4,4,3.89,5.93,"target_4opt"
"17",5,1,4,6,"target_4opt"
"18",5,2,6,4,"target_4opt"
"19",5,3,5.04,5.04,"target_4opt"
"20",5,4,3.87,5.9,"target_4opt"
"21",6,1,4,6,"target_4opt"
"22",6,2,6,4,"target_4opt"
"23",6,3,5.03,5.03,"target_4opt"
"24",6,4,3.85,5.87,"target_4opt"
"25",7,1,4,6,"target_4opt"
"26",7,2,6,4,"target_4opt"
"27",7,3,5.02,5.02,"target_4opt"
"28",7,4,3.83,5.84,"target_4opt"
"29",8,1,4,6,"target_4opt"
"30",8,2,6,4,"target_4opt"
"31",8,3,5,5,"target_4opt"
"32",8,4,3.81,5.81,"target_4opt"
"33",9,1,4,6,"target_4opt"
"34",9,2,6,4,"target_4opt"
"35",9,3,4.99,4.99,"target_4opt"
"36",9,4,3.78,5.78,"target_4opt"
"37",10,1,4,6,"target_4opt"
"38",10,2,6,4,"target_4opt"
"39",10,3,4.98,4.98,"target_4opt"
"40",10,4,3.76,5.75,"target_4opt"
"41",11,1,4,6,"target_4opt"
"42",11,2,6,4,"target_4opt"
"43",11,3,4.96,4.96,"target_4opt"
"44",11,4,3.74,5.71,"target_4opt"
"45",12,1,4,6,"target_4opt"
"46",12,2,6,4,"target_4opt"
"47",12,3,4.95,4.95,"target_4opt"
"48",12,4,3.72,5.68,"target_4opt"
"49",13,1,4,6,"target_4opt"
"50",13,2,6,4,"target_4opt"
"51",13,3,4.94,4.94,"target_4opt"
"52",13,4,3.7,5.65,"target_4opt"
"53",14,1,4,6,"target_4opt"
"54",14,2,6,4,"target_4opt"
"55",14,3,4.92,4.92,"target_4opt"
"56",14,4,3.68,5.62,"target_4opt"
"57",15,1,4,6,"target_4opt"
"58",15,2,6,4,"target_4opt"
"59",15,3,4.91,4.91,"target_4opt"
"60",15,4,3.66,5.59,"target_4opt"
"61",16,1,4,6,"target_4opt"
"62",16,2,6,4,"target_4opt"
"63",16,3,4.9,4.9,"target_4opt"
"64",16,4,3.64,5.56,"target_4opt"
"65",17,1,4,6,"target_4opt"
"66",17,2,6,4,"target_4opt"
"67",17,3,4.88,4.88,"target_4opt"
"68",17,4,3.62,5.53,"target_4opt"
"69",18,1,4,6,"target_4opt"
"70",18,2,6,4,"target_4opt"
"71",18,3,4.87,4.87,"target_4opt"
"72",18,4,3.6,5.5,"target_4opt"
"73",19,1,4,6,"target_4opt"
"74",19,2,6,4,"target_4opt"
"75",19,3,4.86,4.86,"target_4opt"
"76",19,4,3.59,5.47,"target_4opt"
"77",20,1,4,6,"target_4opt"
"78",20,2,6,4,"target_4opt"
"79",20,3,4.84,4.84,"target_4opt"
"80",20,4,3.57,5.44,"target_4opt"
"81",21,1,4,6,"target_4opt"
"82",21,2,6,4,"target_4opt"
"83",21,3,4.83,4.83,"target_4opt"
"84",21,4,3.55,5.41,"target_4opt"
"85",22,1,4,6,"target_4opt"
"86",22,2,6,4,"target_4opt"
"87",22,3,4.82,4.82,"target_4opt"
"88",22,4,3.53,5.38,"target_4opt"
"89",23,1,4,6,"target_4opt"
"90",23,2,6,4,"target_4opt"
"91",23,3,4.8,4.8,"target_4opt"
"92",23,4,3.51,5.36,"target_4opt"
"93",24,1,4,6,"target_4opt"
"94",24,2,6,4,"target_4opt"
"95",24,3,4.79,4.79,"target_4opt"
"96",24,4,3.49,5.33,"target_4opt"
"97",25,1,4,6,"target_4opt"
"98",25,2,6,4,"target_4opt"
"99",25,3,4.78,4.78,"target_4opt"
"100",25,4,3.47,5.3,"target_4opt"
"101",26,1,4,6,"target_4opt"
"102",26,2,6,4,"target_4opt"
"103",26,3,4.77,4.77,"target_4opt"
"104",26,4,3.45,5.27,"target_4opt"
"105",27,1,4,6,"target_4opt"
"106",27,2,6,4,"target_4opt"
"107",27,3,4.75,4.75,"target_4opt"
"108",27,4,3.43,5.24,"target_4opt"
"109",28,1,4,6,"target_4opt"
"110",28,2,6,4,"target_4opt"
"111",28,3,4.74,4.74,"target_4opt"
"112",28,4,3.42,5.21,"target_4opt"
"113",29,1,4,6,"target_4opt"
"114",29,2,6,4,"target_4opt"
"115",29,3,4.73,4.73,"target_4opt"
"116",29,4,3.4,5.18,"target_4opt"
"117",30,1,4,6,"target_4opt"
"118",30,2,6,4,"target_4opt"
"119",30,3,4.71,4.71,"target_4opt"
"120",30,4,3.38,5.16,"target_4opt"
